id,sentence,human,unsure
0,就在家门口 以前经常去吃 懒得跑出去了 一般是超市一般是吃饭的地方 很多台湾人来 东西比较简易 但还是挺好吃的 性价比不错 最近新推出了木瓜鲜奶 不错,1,0
1,"东西做的挺精致的,特别是雪媚娘还用小篮子装着.点心种类很多,西点也有.小笼包很好吃,肉馅挺大的.东坡肉太肥腻了.腐皮虾卷就不好吃了.糟鸡也不错.糖藕没有楼外楼好吃.其他的一般.感觉这边带虾的东西几乎没什么虾的成分,这点和广东的差别很大.",1,1
2,点评上的分数还可以，5毛钱一个随便吃吃也无所谓，所以就放在计划中了。其实就是看这么小的粽子比较可爱，以前从没碰到过，才买的，况且嘉兴粽子有名，总差不到哪里去。\n店面倒是找了半天，一开始是不知道下西街在哪里，后来发现点评上的地址是错的，明明是54号嘛。\n吃了肉粽和栗子的，还真是小得一口就能吃掉。味道还行，不过还是肉的更好吃，有肉有油，比较香。\n吃完问题就来了，手油啊，所以在店里面洗手，结果发现里面苍蝇满天飞，脏得不行，顿时一阵恶心，这卫生也太不保障了吧。,0,0
3,这家桌游的老板人很不错，而且这里的环境很好店面装修的挺不错的，地方觉得也蛮大的，足够我们几个朋友一起耍的了。,1,0
4,"应朋友之邀,第一次到这家酒楼吃饭.酒楼外环境好大,好开阔,停车位好多.里面装修也好精致.朋友定的座在三楼包间,有两张大台,房间呈长方型,不算宽敞,因为三楼是最高层,又是人字型屋顶,所以包间的屋顶靠走廊一边高,靠窗户一边就略低.装修不算豪华,但还感觉舒适.服务员态度也好,只是面部表情比较呆板,缺少一些笑容.潮庭酒楼吃的就是潮汕菜,鹅肝卤水拼盘中的鹅肝软软的好好味.海参烩红腰豆也很好,腰豆好淋好绵,煎鲳鱼好香,牛仔骨肉好嫩滑,鲍鱼就麻麻啦,味道不够鲜美,还有一盅橄榄炖海螺瘦肉汤,入口甘甜略带微酸,还不错,其他的还有西芹炒百合,云耳肉丝,上汤枸杞等等,十几个人总共消费5000多元,比一般的粤菜偏贵,不过,大家都感觉满意.",1,0
5,"今日去食,啱好未系食饭时间 所以就无乜人.. 到晚饭都几多人黎食噶\n不过睇起身环境唔错 如果今日唔大风 都霖住坐下出面露天位置噶..\n  我地点左个两个下午茶+2个小食  野饮+炸鱿鱼同埋个牛肉串烧 32蚊  随便搭\n   炸鱿鱼粉多左少少 但系D味就几ok喔  牛肉串烧麻麻地啦  \n   杯青苹果爆果绿茶几得意下喔..几过瘾又几好味噶 \n     芝士火腿意粉几唔错啦 芝士味都够\n   而另外个番茄鸡肉焗饭 鸡肉够大件够厚 不过我食下觉得D鸡好似有D柠檬味噶感觉？？\n    所以食下下都系同个friend食个意粉多 \n  然后环境都几舒服  一直边食边倾都几好噶...\n    而且餐牌上好多噶野都唔贵 几抵下 比起出面某D相同性质噶店性价都算唔错噶 ..  不过如果下次食饭经过附近都可以考虑下噶..",1,0
6,环境一般，就是坐在靠窗的地方可以看到南京路~\n福建炒饭味道不错，芒果布丁味道一般了些~\n逛累了休息一下的地方，特色谈不上,0,1
7,家乐福购物的时候有时候偶尔会在这里吃吃豆浆和油条。\n基本就是全开放的环境，窄窄的一条，比较拥挤的间距，有时候还会挤满超市小推车。\n豆浆和油条的水准较前几年退步了，就当偶尔换换口味吧。,0,0
8,公司培训在青少年活动中心\n本来以为午饭要自己解决，没有想到培训中包含午饭\n青少年活动中心自己的食堂\n就是和学校的食堂差不多，一杯酸奶，2个荤菜，2个素菜，一碗饭，一碗汤\n没有什么要求的话，味道还可以\n反正就是例行公事，哈哈,0,1
9,感觉跟满记差不多的连锁店 但是感觉东西没有满记做得好吃 \n就算是店里只有一共两个客人的情况下 还是等上菜等了20分钟 不晓得服务员上班在干什么\n水果紫米露感觉不好吃 味道有点奇怪 \n龟苓膏也没有什么味道\n店里还让人感觉油腻腻的 \n饿……不会再高兴去了,0,0
